Assembly_version	Assembly_name	Class	Clade	Order	Family	Species	Size	Contigs_n50	Scaffold_n50	assembly_level
fVerVar.GCA_013332515.1	ysfri_vvar_1.0	Actinopteri	Fish	Pleuronectiformes	Pleuronectidae	Verasper variegatus	545339360	14,452,835	24764384	Chromosome
fXenCan.GCA_014839995.1	fXenCan1.pri	Actinopteri	Fish	Beloniformes	Belonidae	Xenentodon cancila	736214936	2,195,850	28679447	Chromosome
fXipCou.GCA_001444195.3	X_couchianus-1.0	Actinopteri	Fish	Cyprinodontiformes	Poeciliidae	Xiphophorus couchianus	688541509	15,315,838	30550352	Chromosome
fXipGla.GCA_016859285.1	ASM1685928v1	Actinopterygii	Fish	Perciformes	Xiphiidae	Xiphias gladius	691780295	5252707	29220096	Chromosome
fXipHel.GCA_003331165.2	Xiphophorus_hellerii-4.1	Actinopteri	Fish	Cyprinodontiformes	Poeciliidae	Xiphophorus hellerii	732906125	7,084,538	32404057	Chromosome
fXipMac.GCA_002775205.2	X_maculatus-5.0-male	Actinopteri	Fish	Cyprinodontiformes	Poeciliidae	Xiphophorus maculatus	704321165	9,181,372	31535491	Chromosome
kcLetReis.GCA_015708825.1	ASM1570882v1	Hyperoartia	Fish	Petromyzontiformes	Petromyzontidae	Lethenteron reissneri	1063012140	1412731	13487809	Chromosome
kcPetMari.GCA_010993605.1	kPetMar1.pri	Cephalaspidomorphi	Chordates	Petromyzontiformes	Petromyzontidae	Petromyzon marinus	1089050413	2540784	12997950	Chromosome
kxNeoFors.GCA_016271365.1	neoFor_v3	Dipnoi	Chordates	Ceratodontiformes	Ceratodontidae	Neoceratodus forsteri	3.46E+10	1402697193	1485207024	Chromosome
kxProAnne.GCA_019279795.1	PAN1.0	Dipnoi	Chordates	Lepidosireniformes	Protopteridae	Protopterus annectens	4.01E+10	1603140	1974114035	Chromosome
mAcoRus.GCA_903995435.1	mAcoRus1.1	Mammalia	Mammals	Rodentia	Muridae	Acomys russatus	2301522284	4450755	66475698	Chromosome
mAntFla.GCA_016432865.1	AdamAnt	Mammalia	Mammals	Dasyuromorphia	Dasyuridae	Antechinus flavipes	3192697873	51843704	636717922	Chromosome
mArvAmp.GCA_903992535.2	mArvAmp1.2	Mammalia	Mammals	Rodentia	Cricetidae	Arvicola amphibius	2297766297	5392280	158924400	Chromosome
mArvNil.GCA_011762505.1	mArvNil1.pat.X	Mammalia	Mammals	Rodentia	Muridae	Arvicanthis niloticus	2496761438	11143170	82689117	Chromosome
mBalMus.GCA_009873245.3	mBalMus1.pri.v3	Mammalia	Mammals	Cetacea	Balaenopteridae	Balaenoptera musculus	2374868943	6315640	110314666	Chromosome
mBosGau.GCA_014182915.1	ARS_UOA_Gaur_1	Mammalia	Mammals	Artiodactyla	Bovidae	Bos gaurus	2717349581	13340585	104471907	Chromosome
mBosGru.GCA_005887515.2	BosGru3.0	Mammalia	Mammals	Artiodactyla	Bovidae	Bos grunniens	2832776395	44716738	114386978	Chromosome
mBosTau.GCA_002263795.2	ARS-UCD1.2	Mammalia	Mammals	Artiodactyla	Bovidae	Bos taurus	2715853792	25896116	103308737	Chromosome
mBubBub.GCA_003121395.1	UOA_WB_1	Mammalia	Mammals	Artiodactyla	Bovidae	Bubalus bubalis	2655780776	22441509	117219835	Chromosome
mCalJac.GCA_011100555.2	mCalJa1.2.pat.X	Mammalia	Mammals	None	Cebidae	Callithrix jacchus	2874881015	13222669	136971485	Chromosome
mCamFer.GCA_009834535.1	BCGSAC_Cfer_1.0	Mammalia	Mammals	Artiodactyla	Camelidae	Camelus ferus	2087093976	5365398	76025729	Chromosome
mCanLup.GCA_011100685.1	UU_Cfam_GSD_1.0	Mammalia	Mammals	Carnivora	Canidae	Canis lupus familiaris	2,744,463,177	13671004	142230338	Chromosome
mCanLup.GCA_014441545.1	ROS_Cfam_1.0	Mammalia	Mammals	Carnivora	Canidae	Canis lupus familiaris	2396858295	12024593	64037277	Chromosome
mCapHir.GCA_015443085.1	Saanen_v1	Mammalia	Mammals	Artiodactyla	Bovidae	Capra hircus	2696218280	46208332	102383509	Chromosome
mChoDid.GCA_015220235.1	mChoDid1.pri	Mammalia	Mammals	Pilosa	Megalonychidae	Choloepus didactylus	3214702648	20994632	146178362	Chromosome
mCriGri.GCA_003668045.2	CriGri-PICRH-1.0	Mammalia	Mammals	Rodentia	Cricetidae	Cricetulus griseus	2366634374	2711962	274391693	Chromosome
mDicBic1.GCA_020826845.1	mDicBic1.mat.cur	Mammalia	Mammals			Diceros bicornis minor				
mEquAsi.GCA_016077325.1	EquAsi1.0	Mammalia	Mammals	Perissodactyla	Equidae	Equus asinus	2432132968	25075547	98598843	Chromosome
mEquCab.GCA_002863925.1	EquCab3.0	Mammalia	Mammals	Perissodactyla	Equidae	Equus caballus	2506966135	1502753	87230776	Chromosome
mFelCat.GCA_000181335.4	Felis_catus_9.0	Mammalia	Mammals	Carnivora	Felidae	Felis catus	2521863845	41915695	83967707	Chromosome
mGirCam.GCA_017591445.1	ASM1759144v1	Mammalia	Mammals	Artiodactyla	Giraffidae	Giraffa camelopardalis	2441480433	11323477	158234173	Chromosome
mHomSap.GCA_000001405.28	GRCh38.p13	Mammalia	Mammals	Primates	Hominidae	Homo sapiens	3272089205	57879411	67794873	Chromosome
mHomSap.GCA_009914755.3	CHM13 T2T v1.1	Mammalia	Mammals	Primates	Hominidae	Homo sapiens	3054832041	T2T	T2T	Chromosome
mHomSap.GCA_016700455.2 	mHomSap3.pat	Mammalia	Mammals	Primates	Hominidae	Homo sapiens	2744463177	13671004	142230338	Chromosome
mJacJac1.GCA_020740685.1	mJacJac1.mat.Y.cur	Mammalia	Mammals	Rodentia		Jaculus jaculus	2863848715	22104564	158244790	Chromosome
mLutLut.GCA_902655055.2	mLutLut1.2	Mammalia	Mammals	Carnivora	Mustelidae	Lutra lutra	2438458878	30403456	149004807	Chromosome
mLynCan.GCA_007474595.2	mLynCan4.pri.v2	Mammalia	Mammals	Carnivora	Felidae	Lynx canadensis	2407810255	7503561	147275701	Chromosome
mMacMul.GCA_003339765.3	Mmul_10	Mammalia	Mammals	None	Cercopithecidae	Macaca mulatta	2971331530	46608966	82346004	Chromosome
mMusErm.GCA_009829155.1	mMusErm1.Pri	Mammalia	Mammals	Carnivora	Mustelidae	Mustela erminea	2445217270	36329944	130149454	Chromosome
mMusMuc.GCA_000001635.9	GRCm39	Mammalia	Mammals	Rodentia	Muridae	Mus musculus	2728222451	59462871	106145001	Chromosome
mOnyTor.GCA_903995425.1	mOncTor1.1	Mammalia	Mammals	Rodentia	Cricetidae	Onychomys torridus	2468394440	2276141	112723509	Chromosome
mOrnAna.GCA_004115215.4	mOrnAna1.pri.v4	Mammalia	Mammals	Monotremata	Ornithorhynchidae	Ornithorhynchus anatinus	1859281927	15146802	83338043	Chromosome
mOryCun.GCA_013371645.1	OryCun3.0	Mammalia	Mammals	Lagomorpha	Leporidae	Oryctolagus cuniculus	2780373160	1879078	140390130	Chromosome
mOviAri.GCA_002742125.1	Oar_rambouillet_v1.0	Mammalia	Mammals	Artiodactyla	Bovidae	Ovis aries	2869914396	2572683	107697089	Chromosome
mOviOri.GCA_014523465.1	CAU_Oori_1.0	Mammalia	Mammals	Artiodactyla	Bovidae	Ovis orientalis	2652567896	42163491	103690580	Chromosome
mPanLeo.GCA_018350215.1	P.leo_Ple1_pat1.1	Mammalia	Mammals	Carnivora	Felidae	Panthera leo	2297552363	77781637	147402474	Chromosome
mPanPan.GCA_013052645.3	Mhudiblu_PPA_v2	Mammalia	Mammals	None	Hominidae	Pan paniscus	3203531224	15060308	53386619	Chromosome
mPanTig.GCA_018350195.2	P.tigris_Pti1_mat1.1	Mammalia	Mammals	Carnivora	Felidae	Panthera tigris	2408678698	74391967	146942463	Chromosome
mPanTro.GCA_002880755.3	Clint_PTRv2	Mammalia	Mammals	None	Hominidae	Pan troglodytes	3050398082	12268567	53103722	Chromosome
mPapAnu.GCA_008728515.1	Panubis1.0	Mammalia	Mammals	None	Cercopithecidae	Papio anubis	2869821163	1464978	140274886	Chromosome
mPerLeu.GCA_004664715.2	UCI_PerLeu_2.1	Mammalia	Mammals	Rodentia	Cricetidae	Peromyscus leucopus	2475180836	3487364	114273790	Chromosome
mPhaAfr.GCA_016906955.1	ROS_Pafr_v1	Mammalia	Mammals	Artiodactyla	Suidae	Phacochoerus africanus	2435099834	10602503	141887063	Chromosome
mPhoSin.GCA_008692025.1	mPhoSin1.pri	Mammalia	Mammals	Artiodactyla	Phocoenidae	Phocoena sinus	2371524154	20218762	115469292	Chromosome
mPhyDis.GCA_004126475.3	mPhyDis1.pri.v3	Mammalia	Mammals	Chiroptera	Phyllostomidae	Phyllostomus discolor	2108832841	6892556	171742863	Chromosome
mPipPip.GCA_903992545.1	mPipPip1.1	Mammalia	Mammals	Chiroptera	Vespertilionidae	Pipistrellus pipistrellus	1763439233	4446752	94929986	Chromosome
mPonAbe.GCA_002880775.3	Susie_PABv2	Mammalia	Mammals	None	Hominidae	Pongo abelii	3065052215	11074009	98475126	Chromosome
mRatNor.GCA_015227675.2	mRatBN7.2	Mammalia	Mammals	Rodentia	Muridae	Rattus norvegicus	2647915728	29198295	135012528	Chromosome
mRatRat.GCA_011064425.1	Rrattus_CSIRO_v1	Mammalia	Mammals	Rodentia	Muridae	Rattus rattus	2382787281	1635336	158824752	Chromosome
mRhiFer.GCA_004115265.3	mRhiFer1_v1.p	Mammalia	Mammals	Chiroptera	Rhinolophidae	Rhinolophus ferrumequinum	2075785400	31900497	88025743	Chromosome
mRhiRox.GCA_007565055.1	ASM756505v1	Mammalia	Mammals	None	Cercopithecidae	Rhinopithecus roxellana	3038477066	5723610	144559847	Chromosome
mRhiSin1.GCA_020740635.1	mRhiSin1.pri.cur	Mammalia	Mammals			Rhinolophus sinicus 	2338923724	34562834	185549907	Chromosome
mSarHar.GCA_902635505.1	mSarHar1.11	Mammalia	Mammals	Dasyuromorphia	Dasyuridae	Sarcophilus harrisii	3086674442	62339597	611347268	Chromosome
mSciCar.GCA_902686445.2	mSciCar1.2	Mammalia	Mammals	Rodentia	Sciuridae	Sciurus carolinensis	2815413801	13975867	148229995	Chromosome
mSciVul.GCA_902686455.2	mSciVul1.2	Mammalia	Mammals	Rodentia	Sciuridae	Sciurus vulgaris	2878607543	16333633	153872958	Chromosome
mSusScr.GCA_000003025.6	Sscrofa11.1	Mammalia	Mammals	Artiodactyla	Suidae	Sus scrofa	2501912388	48231277	88231837	Chromosome
mTacAcu.GCA_015852505.1	mTacAcu1.pri	Mammalia	Mammals	Monotremata	Tachyglossidae	Tachyglossus aculeatus	2213004214	19859057	63379719	Chromosome
mTriVul.GCA_011100635.1	mTriVul1.pri	Mammalia	Mammals	Diprotodontia	Phalangeridae	Trichosurus vulpecula	3359347707	4314688	442560073	Chromosome
mTurTru.GCA_011762595.1	mTurTru1.mat.Y	Mammalia	Mammals	Cetacea	Delphinidae	Tursiops truncatus	2378522213	9729386	108430135	Chromosome
mVulLag.GCA_018345385.1	ASM1834538v1	Mammalia	Mammals	Carnivora	Canidae	Vulpes lagopus	2345550353	33460300	131537142	Chromosome
mZalCal.GCA_009762305.2	mZalCal1.pri.v2	Mammalia	Mammals	Carnivora	Otariidae	Zalophus californianus	2409685272	32626160	147124152	Chromosome
rCheMyd.GCA_015237465.2	rCheMyd1.pri.v2	Reptilia	Reptiles	Testudines	Cheloniidae	Chelonia mydas	2134358617	39415510	134428053	Chromosome
rDerCor.GCA_009764565.4	rDerCor1.pri.v4	Reptilia	Reptiles	Testudines	Dermochelyidae	Dermochelys coriacea	2164762090	7029801	137568771	Chromosome
rGopEvg.GCA_007399415.1	rGopEvg1_v1.p	Reptilia	Reptiles	Testudines	Testudinidae	Gopherus evgoodei	2298564209	13026736	147425149	Chromosome
rLacAgi.GCA_009819535.1	rLacAgi1.pri	Reptilia	Reptiles	Squamata	Lacertidae	Lacerta agilis	1391404169	6613248	86565987	Chromosome
rMauRee.GCA_016161935.1	ASM1616193v1	None	Reptiles	Testudines	Geoemydidae	Mauremys reevesii	2367607229	33352699	130473029	Chromosome
rThaEle.GCA_009769535.1	rThaEle1.pri	Lepidosauria	Reptiles	Squamata	Colubridae	Thamnophis elegans	1672190305	4620601	100851885	Chromosome
sAmbRad.GCA_010909765.2	sAmbRad1.1.pri	Elasmobranchii	Chordates	Rajiformes	Rajidae	Amblyraja radiata	2558784953	1462921	62052929	Chromosome
sCarCar.GCA_017639515.1	sCarCar2.pri	Elasmobranchii	Chordates	Lamniformes	Lamnidae	Carcharodon carcharias	4286311191	6544962	169918123	Chromosome
sHemOce1.GCA_020745735.1	sHemOce1.pat.X.cur		Chordates			Hemiscyllium ocellatum	3,983,483,121	8845575	83580160	Chromosome
sPriPec.GCA_009764475.2	sPriPec2.1.pri	Chondrichthyes	Chordates	Pristiformes/Rhiniformes group	Pristidae	Pristis pectinata	2267857790	17009522	101699621	Chromosome
sScyCan.GCA_902713615.2	sScyCan1.2	Elasmobranchii	Chordates	Carcharhiniformes	Scyliorhinidae	Scyliorhinus canicula	4220389930	1862211	198790641	Chromosome
